날짜,종가_OIL_GSL,전일대비_OIL_GSL,등략율_OIL_GSL
2018.08.23,1619.69,0.18,+ 0.01%
2018.08.22,1619.51,0.05,+ 0.00%
2018.08.21,1619.46,0.12,+ 0.01%
2018.08.20,1619.34,0.16,+ 0.01%
2018.08.19,1619.18,0.1,+ 0.01%
2018.08.18,1619.08,0.06,+ 0.00%
2018.08.17,1619.02,0.12,+ 0.01%
2018.08.16,1618.9,0.22,+ 0.01%
2018.08.15,1618.68,0.22,+ 0.01%
2018.08.14,1618.46,0.43,+ 0.03%
2018.08.13,1618.03,0.21,+ 0.01%
2018.08.12,1617.82,0.24,+ 0.01%
2018.08.11,1617.58,0.21,+ 0.01%
2018.08.10,1617.37,0.2,+ 0.01%
2018.08.09,1617.17,0.29,+ 0.02%
2018.08.08,1616.88,0.28,+ 0.02%
2018.08.07,1616.6,0.63,+ 0.04%
2018.08.06,1615.97,0.13,+ 0.01%
2018.08.05,1615.84,0.22,+ 0.01%
2018.08.04,1615.62,0.31,+ 0.02%
2018.08.03,1615.31,0.27,+ 0.02%
2018.08.02,1615.04,0.37,+ 0.02%
2018.08.01,1614.67,0.85,+ 0.05%
2018.07.31,1613.82,0.62,+ 0.04%
2018.07.30,1613.2,0.17,+ 0.01%
2018.07.29,1613.03,0.17,+ 0.01%
2018.07.28,1612.86,0.27,+ 0.02%
2018.07.27,1612.59,0.12,+ 0.01%
2018.07.26,1612.47,0.18,+ 0.01%
2018.07.25,1612.29,0.08,+ 0.00%
2018.07.24,1612.22,0.13,+ 0.01%
2018.07.23,1612.09,0.12,+ 0.01%
2018.07.22,1611.97,0.04,+ 0.00%
2018.07.21,1611.93,0.11,+ 0.01%
2018.07.20,1611.82,0.03,+ 0.00%
2018.07.19,1611.79,0.1,+ 0.01%
2018.07.18,1611.69,0.05,+ 0.00%
2018.07.17,1611.64,0.22,+ 0.01%
2018.07.16,1611.42,0.2,+ 0.01%
2018.07.15,1611.22,0.23,+ 0.01%
2018.07.14,1610.99,0.23,+ 0.01%
2018.07.13,1610.76,0.19,+ 0.01%
2018.07.12,1610.57,0.33,+ 0.02%
2018.07.11,1610.24,0.39,+ 0.02%
2018.07.10,1609.85,0.41,+ 0.03%
2018.07.09,1609.44,0.17,+ 0.01%
2018.07.08,1609.27,0.09,+ 0.01%
2018.07.07,1609.18,0.29,+ 0.02%
