회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
신원종합개발,17000,건물 건설업,토건,1994-12-07,12월,우진호,http://www.swc.co.kr,경기도
씨씨에스,66790,텔레비전 방송업,케이블TV서비스 및 초고속인터넷서비스,2003-05-30,12월,이현무 (단독대표이사),http://www.ccstv.co.kr,충청북도
씨앤지하이테크,264660,특수 목적용 기계 제조업,"약액혼합공급장치, 화학약품재생장치",2018-01-25,12월,홍사문,http://www.cnghitech.com,경기도
씨젠,96530,의료용품 및 기타 의약 관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",2010-09-10,12월,천종윤,http://seegene.co.kr,서울특별시
아스트,67390,"항공기,우주선 및 부품 제조업",항공기용 부품 제조 및 동체 조립,2014-12-24,12월,김희원,http://www.astk.co.kr,경상남도
아시아종묘,154030,작물 재배업,종자,2018-02-12,09월,류경오,http://www.asiaseed.co.kr,서울특별시
아우딘퓨쳐스,227610,기타 화학제품 제조업,"기초화장품, 마스크팩 등",2017-07-12,12월,최영욱,http://www.outinco.com,서울특별시
아이크래프트,52460,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","인터넷핵심망(CCR,MCR,NAS등)",2005-01-03,12월,"박우진, 성시훈(각자 대표이사)",http://www.icraft21.com,서울특별시
에스넷,38680,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네트워크장비 설치 및 납품, 유지보수",2000-04-27,12월,조태영,http://www.snetsystems.co.kr,서울특별시
에스모,73070,자동차 신품 부품 제조업,자동차용 와이어링 하네스,2004-01-28,12월,김정훈,http://www.nexentech.co.kr,울산광역시
에스텍파마,41910,의약품 제조업,원료의약품,2004-02-06,12월,김재철,http://www.estechpharma.com,경기도
에이씨티,138360,기타 화학제품 제조업,기능성 화장품 원료,2013-11-08,12월,최병진,http://www.actcos.com,충청북도
에이치엔티,176440,전자부품 제조업,휴대폰 카메라 모듈,2016-11-28,12월,이상익,http://www.hntelec.com,경기도
에이치케이,44780,특수 목적용 기계 제조업,레이저가공 절단기,2000-09-07,12월,계명재,http://www.hankwang.co.kr,경기도
엑사이엔씨,54940,실내건축 및 건축마무리 공사업,고주파고압변성기(FBT : Flyback Transformer),2001-12-13,12월,"구자극, 원종일 (각자 대표이사)",http://www.exaenc.com,서울특별시
엔에스,217820,특수 목적용 기계 제조업,2차전지 자동화 설비,2015-12-07,12월,이세용,http://www.cns2.co.kr,충청북도
엘오티베큠,83310,특수 목적용 기계 제조업,반도체제조용진공펌프,2005-10-05,12월,오흥식,http://www.lotvacuum.com,경기도
엠벤처투자,19590,신탁업 및 집합투자업,벤처캐피탈,1989-03-14,12월,홍성혁,http://www.m-vc.co.kr,서울특별시
엠씨넥스,97520,영상 및 음향기기 제조업,휴대폰용자동차용 카메라모듈,2012-07-25,12월,민동욱,http://www.mcnex.com,서울특별시
옵트론텍,82210,사진장비 및 광학기기 제조업,"IRFilter,Grating",2005-06-24,12월,"홍사관, 임지윤",http://www.optrontec.com,경상남도
와이솔,122990,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer",2010-09-10,12월,"김지호, 염상덕",http://www.wisol.co.kr,경기도
우리산업홀딩스,72470,자동차 신품 부품 제조업,HVAC ACTUATOR (자동차 공조장치 부품 등),2003-10-28,12월,김명준,http://www.woory.com,경기도
우리이앤엘,153490,반도체 제조업,LED 패키지,2013-02-05,12월,권경환,http://www.wooreeenl.co.kr,경기도
윈하이텍,192390,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크 플레이트(건설용거푸집),2014-07-25,12월,변천섭,http://www.winhitech.co.kr,충청북도
윌링스,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",태양광 인버터 등,2019-07-25,12월,안강순,http://www.willings.co.kr,경기도
유비벨록스,89850,소프트웨어 개발 및 공급업,"모바일플랫폼 및 모바일솔루션, 스마트카드 등",2010-06-18,12월,이흥복,http://www.veloxsoft.com,서울특별시
유성티엔에스,24800,육상 여객 운송업,"운송,C형강,차량정비",1999-12-10,12월,"이명호, 이봉관(각자 대표이사)",http://www.yoosungtns.co.kr,서울특별시
유테크,178780,전자부품 제조업,"도광판, 몰드프레임",2015-06-30,12월,이주석,http://www.u-tech.co.kr,경기도
이녹스첨단소재,272290,전자부품 제조업,"FPCB소재, 반도체 및 디스플레이 소재",2017-07-10,12월,"장경호, 김필영",http://www.innoxamc.com,충청남도
